"filename", "language", "Markdown", "C++", "XML", "HLSL", "comment", "blank", "total"
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectEnd.fx", "HLSL", 0, 0, 0, 39, 2, 5, 46
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectGaussian.fx", "HLSL", 0, 0, 0, 71, 12, 20, 103
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectSSAO.fx", "HLSL", 0, 0, 0, 332, 19, 62, 413
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectSaturate.fx", "HLSL", 0, 0, 0, 38, 5, 13, 56
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectStarBurst.fx", "HLSL", 0, 0, 0, 112, 13, 26, 151
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\SkinAnimMeshShader.fx", "HLSL", 0, 0, 0, 84, 5, 26, 115
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\simple.fx", "HLSL", 0, 0, 0, 39, 0, 9, 48
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\simple.fx", "HLSL", 0, 0, 0, 38, 0, 9, 47
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\UnitTest1\UnitTest1.cpp", "C++", 0, 13, 0, 0, 0, 4, 17
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\UnitTest1\UnitTest1.vcxproj", "XML", 0, 0, 173, 0, 0, 0, 173
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\UnitTest1\pch.cpp", "C++", 0, 1, 0, 0, 2, 3, 6
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\UnitTest1\pch.h", "C++", 0, 3, 0, 0, 6, 4, 13
"Total", "-", 21, 6717, 954, 4311, 1436, 3441, 16880
