"filename", "language", "C++", "HLSL", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectZShadow.h", "C++", 4, 0, 0, 0, 0, 0, 4
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PtrManager.h", "C++", 0, 0, 0, 0, 2, 0, 2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Render.cpp", "C++", 191, 0, 0, 0, -5, 25, 211
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Render.h", "C++", 27, 0, 0, 0, 8, 6, 41
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Render.vcxproj", "XML", 0, 0, 0, 8, 0, 0, 8
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\SkinAnimMesh.cpp", "C++", 0, 0, 0, 0, -1, 1, 0
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\SkinAnimMesh.h", "C++", 1, 0, 0, 0, 0, 2, 3
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\SkinAnimMeshAlloc.cpp", "C++", 0, 0, 0, 0, -1, 0, -1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Sprite.cpp", "C++", 6, 0, 0, 0, 3, 4, 13
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Sprite.h", "C++", 0, 0, 0, 0, -2, 0, -2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Util.cpp", "C++", 12, 0, 0, 0, 0, 3, 15
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Util.h", "C++", 27, 0, 0, 0, 2, 2, 31
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\WindowManager.cpp", "C++", 33, 0, 0, 0, 0, 14, 47
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\GBuffer.fx", "HLSL", 0, 7, 0, 0, -4, 3, 6
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshMix.fx", "HLSL", 0, -24, 0, 0, -3, -9, -36
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshNoLighting.fx", "HLSL", 0, 33, 0, 0, 0, 5, 38
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshOld.fx", "HLSL", 0, 105, 0, 0, 59, 42, 206
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshShader.fx", "HLSL", 0, -105, 0, 0, -59, -42, -206
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshSmooth.fx", "HLSL", 0, 0, 0, 0, 3, 0, 3
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectFog.fx", "HLSL", 0, 77, 0, 0, 12, 19, 108
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectSSAO.fx", "HLSL", 0, 25, 0, 0, -1, 3, 27
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectSaturate.fx", "HLSL", 0, -1, 0, 0, 0, -1, -2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectZShadow.fx", "HLSL", 0, 11, 0, 0, 0, 1, 12
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\simple.fx", "HLSL", 0, 1, 0, 0, 0, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\AppState.cpp", "C++", 530, 0, 0, 0, 0, 85, 615
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\AppState.h", "C++", 106, 0, 0, 0, 0, 11, 117
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\InputHandlers.cpp", "C++", 319, 0, 0, 0, 0, 45, 364
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\InputHandlers.h", "C++", 4, 0, 0, 0, 0, 3, 7
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\Sample.vcxproj", "XML", 0, 0, 0, 15, 0, 1, 16
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\SettingsDialog.cpp", "C++", 453, 0, 0, 0, 0, 63, 516
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\SettingsDialog.h", "C++", 6, 0, 0, 0, 0, 3, 9
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\main.cpp", "C++", -264, 0, 0, 0, -35, -67, -366
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\GBuffer.fx", "HLSL", 0, 7, 0, 0, -4, 3, 6
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshMix.fx", "HLSL", 0, -24, 0, 0, -3, -9, -36
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshNoLighting.fx", "HLSL", 0, 33, 0, 0, 0, 5, 38
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshOld.fx", "HLSL", 0, 105, 0, 0, 59, 42, 206
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshSmooth.fx", "HLSL", 0, 0, 0, 0, 3, 0, 3
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectFog.fx", "HLSL", 0, 77, 0, 0, 12, 19, 108
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectSSAO.fx", "HLSL", 0, 25, 0, 0, -1, 3, 27
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectSaturate.fx", "HLSL", 0, -1, 0, 0, 0, -1, -2
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectZShadow.fx", "HLSL", 0, 11, 0, 0, 0, 1, 12
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\simple.fx", "HLSL", 0, 1, 0, 0, 0, 0, 1
"c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\resource.h", "C++", 49, 0, 0, 0, 0, 3, 52
"Total", "-", 2076, 363, 20, 24, 87, 484, 3054
